age,job,education,balance,day,month,duration
40,1,1,1515,10,1,503
35,0,1,304,18,7,237
29,1,2,455,21,0,403
51,4,2,0,29,5,204
77,5,1,3417,12,9,134
55,1,0,781,3,3,112
44,1,1,0,21,5,90
26,9,1,-211,23,8,164
31,9,1,433,11,1,1504
30,0,1,46,6,8,114
39,1,1,462,13,8,590
35,9,2,108,31,5,65
39,0,1,14,13,8,19
35,0,1,368,16,8,218
41,1,0,2453,15,8,1052
51,9,1,52,13,1,114
49,0,2,6574,8,6,138
48,1,1,48,29,8,144
31,9,2,11,27,1,651
77,5,0,2590,15,3,112
44,9,1,14,13,1,234
34,9,1,1035,25,1,1374
32,9,2,654,25,8,615
59,4,2,893,16,0,206
31,0,1,-302,27,8,235
29,6,1,970,13,8,240
44,1,2,1371,13,8,788
45,9,1,1441,18,9,93
46,4,2,273,10,8,583
30,6,2,48,27,8,144
52,7,1,2993,11,7,96
54,0,1,602,3,7,143
33,4,1,2955,18,8,178
32,9,2,34646,13,1,618
28,8,1,5916,22,8,259
34,1,2,1168,6,3,163
26,4,2,114,7,8,457
27,8,2,39,17,8,379
38,1,0,4406,13,8,689
29,4,2,697,30,0,365
45,9,2,-525,21,9,980
50,9,1,396,20,6,716
28,0,1,352,18,8,431
60,0,1,683,8,9,507
30,1,3,6281,21,0,149
45,0,1,0,29,10,264
29,9,1,382,5,1,409
35,1,1,975,16,5,102
36,4,2,-78,2,6,1068
37,2,2,555,7,5,104
34,0,2,625,31,1,34
44,4,2,6203,13,8,129
29,1,1,-19,20,0,712
70,5,0,383,28,0,50
29,0,1,260,4,3,453
36,4,2,0,18,9,300
42,4,1,580,22,1,67
23,9,1,1587,14,8,502
29,0,1,127,20,0,314
35,4,2,495,30,0,266
34,4,2,5086,25,8,213
41,4,2,-195,20,9,112
49,9,1,-849,27,8,197
28,7,1,525,23,5,81
26,8,2,13107,27,8,112
29,4,2,3041,8,8,606
40,9,1,1270,17,0,342
37,4,2,1449,3,6,291
43,1,1,1096,30,8,180
30,9,1,484,6,8,703
32,0,1,1630,30,4,122
53,9,1,45,28,8,171
70,5,1,2575,20,0,216
30,7,1,438,18,8,98
44,7,1,850,16,5,220
26,4,2,775,19,8,35
44,7,1,210,12,8,111
33,7,1,3444,21,10,144
36,4,2,255,25,1,242
50,7,1,-210,21,1,153
32,4,2,0,17,9,107
39,4,2,-190,11,6,893
82,5,1,121,19,3,330
32,1,1,217,15,8,692
24,1,0,1033,24,9,283
26,9,1,1105,6,11,415
29,7,1,37,17,5,309
51,0,1,2662,28,4,148
45,1,0,351,19,6,66
28,1,1,75,1,6,7
23,0,1,252,15,8,56
55,2,1,538,7,1,353
64,5,1,588,16,5,574
34,9,2,6529,14,1,505
57,10,1,1350,25,6,131
49,4,2,1050,18,9,924
59,4,2,5397,23,6,671
39,0,1,2263,21,9,1158
19,8,3,60,14,1,253
40,1,1,1451,1,6,314
49,9,1,3144,31,5,349
29,0,1,266,6,8,540
38,9,1,5115,27,3,99
38,1,1,-40,23,8,227
38,4,2,623,28,6,297
22,8,0,3472,19,0,529
36,7,1,3740,7,0,254
34,7,1,1337,12,1,255
65,3,0,715,11,7,323
54,0,1,1872,13,3,439
32,1,1,759,9,0,317
31,3,1,243,23,11,305
26,9,1,639,6,6,709
36,0,1,437,14,8,722
52,5,0,-779,17,0,709
32,0,1,10218,19,9,149
40,9,2,47,5,8,159
22,0,1,33,12,3,369
48,9,1,256,29,8,150
35,4,2,1228,9,9,696
42,9,1,473,7,5,216
49,4,1,249,6,9,234
27,4,2,1137,8,8,26
26,10,1,622,28,4,1451
25,0,2,1734,19,10,366
28,1,1,-284,12,8,162
37,11,2,0,8,6,257
58,4,2,3342,5,3,344
32,1,0,1644,7,11,492
84,2,1,0,30,11,992
43,9,1,-1701,26,8,285
41,1,1,1954,18,9,65
37,4,2,72,20,0,885
41,6,2,0,29,0,395
58,9,1,0,15,5,53
50,9,1,103,12,8,79
43,7,1,2478,28,4,347
35,4,2,2682,9,5,156
32,4,2,62,14,8,166
60,5,2,4,2,2,415
34,4,2,1006,19,9,783
32,9,1,465,12,8,210
41,4,2,217,19,9,328
37,9,1,265,3,3,140
46,1,1,229,17,0,191
65,10,1,3195,2,7,904
32,9,1,12,7,1,173
33,1,1,661,18,5,968
70,5,1,6422,10,7,122
42,4,2,0,6,1,81
32,0,2,272,7,10,73
39,9,1,1048,8,0,201
34,4,2,0,7,1,262
41,4,2,1253,21,5,1134
31,4,2,924,5,6,207
42,7,1,466,28,4,48
43,0,1,386,12,10,242
47,4,2,682,18,1,638
33,1,1,-346,23,8,29
33,3,0,0,11,1,237
30,6,1,280,5,8,92
30,2,1,2551,5,6,142
63,9,1,973,25,3,318
32,1,0,3136,19,9,820
50,6,1,1138,14,1,219
44,9,2,1818,30,0,247
47,4,3,4189,19,9,489
30,4,1,135,14,1,112
51,0,1,50,26,1,178
45,0,1,5021,14,4,233
39,0,2,1322,24,11,157
43,10,1,0,23,11,183
42,9,1,1689,31,5,50
29,4,2,874,16,7,231
31,4,2,307,8,5,361
29,1,1,0,10,5,45
35,6,1,2251,19,1,151
39,3,1,1444,25,5,362
62,5,3,800,17,3,737
39,4,2,5073,12,8,1182
51,4,2,93,6,8,221
62,1,0,1381,19,10,1020
27,1,2,335,26,6,519
37,1,1,740,7,8,434
38,9,1,20,2,3,147
54,4,2,313,5,8,83
34,4,2,158,9,11,278
31,1,1,-209,8,8,154
68,5,1,445,18,3,475
51,4,2,151,8,11,638
31,9,1,180,26,8,222
52,4,2,2428,21,9,294
20,8,1,130,4,8,75
40,0,1,50,15,8,837
34,4,2,2555,26,8,129
39,1,1,167,12,8,612
51,1,1,518,12,8,918
39,4,2,22,2,6,493
35,1,0,2040,21,9,258
39,0,1,728,18,10,222
47,9,1,1851,19,8,140
53,4,2,800,18,9,90
75,5,2,3810,16,9,262
38,4,2,3436,21,9,663
60,4,0,21,14,5,113
56,2,2,51439,8,5,325
55,4,2,2037,4,3,305
29,4,2,600,18,10,170
48,10,1,817,14,4,517
39,7,0,324,8,8,340
45,1,0,116,13,0,122
52,1,0,230,6,8,198
35,1,1,120,28,8,245
45,4,1,644,19,9,418
38,2,1,61,28,8,170
35,6,1,5613,28,5,699
42,7,1,115,17,0,161
41,1,0,1250,20,8,1392
26,1,1,-29,10,5,998
26,4,2,9447,4,11,113
36,0,1,1281,24,5,119
39,7,0,471,6,8,161
32,9,1,599,19,9,79
54,6,0,351,6,6,642
30,1,1,1664,20,10,2016
29,10,0,550,29,4,801
76,5,3,8919,28,4,231
59,1,1,0,15,5,237
28,4,2,1086,29,8,128
36,0,2,994,13,1,185
49,4,2,342,30,4,433
47,4,2,2351,10,7,80
34,1,1,640,29,0,636
41,2,1,1588,20,6,10
65,4,1,587,15,0,223
26,7,1,199,24,5,139
45,1,1,-221,3,6,170
47,9,1,2836,14,1,10
22,4,2,760,7,2,6
39,9,1,0,30,0,85
45,1,0,999,29,4,182
34,9,2,149,22,1,739
57,6,1,11494,19,9,198
54,1,0,1895,17,0,345
30,6,2,163,18,8,149
30,9,1,2371,14,6,661
41,4,2,254,9,6,183
28,0,1,0,18,8,390
44,1,2,2185,16,8,698
32,9,1,791,21,8,783
44,1,0,-101,15,8,679
44,0,1,1534,10,9,95
34,1,1,467,13,8,195
34,1,1,0,5,8,150
41,1,1,393,10,5,122
51,6,1,0,29,10,1707
47,1,1,-337,12,8,366
49,1,1,259,16,8,283
29,1,1,-28,12,8,393
33,7,2,-452,29,4,692
33,9,1,2085,9,3,501
33,9,2,1699,28,4,202
29,8,3,10332,2,9,46
35,4,2,1380,23,3,155
50,2,1,2731,8,1,111
40,4,2,858,26,10,202
34,2,2,146,14,5,788
28,4,1,2840,20,0,227
57,4,2,6468,4,11,730
48,9,1,-938,7,8,134
37,0,1,1207,6,0,1353
35,4,2,1618,7,8,542
32,3,1,-613,15,0,266
44,4,2,1954,2,6,294
36,9,1,15485,14,0,461
29,9,2,2325,2,3,125
35,4,2,1723,25,5,862
48,9,1,-205,9,5,112
41,1,1,97,8,5,212
45,9,1,0,7,2,344
40,7,1,694,31,5,75
86,5,0,0,26,1,189
55,1,0,158,15,8,176
35,4,2,1750,30,0,687
29,0,2,0,9,5,426
45,1,0,1794,14,8,174
27,6,1,254,29,4,194
30,7,1,1256,18,8,123
30,9,2,2166,12,4,316
34,9,1,5731,21,5,101
34,1,1,199,8,8,627
23,3,2,66,7,8,1391
24,1,1,-398,18,8,14
30,1,1,278,23,8,1073
55,7,3,2944,27,1,672
66,0,1,4041,14,6,713
40,0,2,27,20,1,467
40,10,1,219,5,8,357
53,4,1,1004,22,2,119
55,1,1,2854,7,8,312
37,4,2,-491,5,3,80
30,4,2,1191,11,1,381
30,0,1,396,13,8,366
45,4,2,1529,30,6,160
25,10,2,343,1,6,377
27,7,1,2457,29,8,123
79,5,0,2787,13,5,617
31,1,1,-720,15,8,112
39,4,2,710,11,5,211
76,5,1,4112,23,10,282
36,7,0,38,6,6,308
30,9,2,0,5,5,140
45,1,0,6691,13,1,211
44,9,1,2857,5,1,318
60,1,0,92,6,6,70
40,1,0,236,20,8,167
47,9,2,-813,16,6,179
32,7,1,5806,20,9,1503
60,1,1,0,5,6,124
25,6,2,1182,26,8,141
37,0,1,309,15,8,58
37,0,2,-65,21,5,226
35,1,1,2200,17,0,14
66,4,1,587,12,8,457
32,6,2,102,22,1,398
27,1,3,409,18,8,525
36,7,1,1746,7,0,15
30,1,1,378,14,8,566
46,0,1,2087,20,9,768
37,8,3,444,14,1,137
42,1,0,1461,7,8,757
59,5,0,3648,19,6,1321
30,9,1,2734,21,9,459
33,1,1,315,4,3,146
53,5,0,0,27,6,747
40,6,1,0,19,6,61
26,4,2,943,11,9,166
32,4,2,41,21,1,686
45,4,2,2048,18,10,310
51,9,1,564,8,5,187
34,8,3,5827,17,9,97
44,1,1,88,2,5,275
59,5,0,20,10,5,298
47,1,1,125,8,5,210
30,1,1,0,26,8,30
42,9,1,-78,29,5,10
52,4,2,193,30,0,381
22,1,1,-51,15,8,859
33,4,2,1808,28,2,250
27,4,2,12956,29,8,789
42,2,2,233,5,3,446
42,10,3,190,11,1,704
45,7,1,0,11,5,106
25,4,2,219,4,1,576
36,1,0,1177,15,0,330
40,0,1,260,13,8,306
36,0,1,2556,13,0,342
60,5,2,0,25,1,101
26,0,1,338,29,10,209
27,10,0,93,11,10,4
35,6,1,951,19,9,220
50,4,2,346,6,3,178
48,1,1,1405,14,8,629
49,2,1,2908,6,6,322
38,9,2,-1,8,1,188
20,1,1,76,18,8,639
39,0,1,2749,19,9,128
37,1,0,-738,5,8,303
32,1,0,-454,18,8,801
44,2,3,323,28,5,332
57,5,1,519,3,6,393
27,8,2,5169,3,11,431
57,5,0,0,24,5,125
37,1,1,604,7,10,371
29,1,1,348,9,8,185
26,4,2,2786,23,7,415
57,4,2,3287,22,6,867
35,7,1,128,12,8,136
27,9,1,3933,28,5,837
36,4,0,1506,14,1,326
54,1,0,215,4,6,71
48,1,1,750,5,3,85
39,3,0,13338,11,1,103
51,0,1,949,5,1,1092
35,4,2,753,27,1,111
40,1,0,2171,9,8,97
30,4,1,1299,14,1,515
38,2,2,170,18,8,442
63,5,3,2193,21,0,1348
50,0,1,363,16,8,1340
35,9,1,196,21,9,318
35,4,2,3837,8,8,1084
29,6,2,242,18,5,73
51,0,1,-338,29,5,97
31,4,2,1331,3,3,182
30,1,1,194,8,8,475
42,9,1,305,28,1,82
53,1,0,4401,11,9,241
40,9,1,822,29,4,155
64,5,0,48,9,11,167
48,0,1,1544,30,6,263
34,7,1,-538,26,8,682
46,1,0,1291,14,8,142
39,4,2,30,3,3,265
29,9,2,940,15,8,757
34,9,1,-259,27,8,124
56,5,2,5769,20,6,15
36,1,1,7051,15,5,106
25,0,1,1871,4,6,136
31,4,2,50,19,1,37
40,4,2,552,28,5,761
41,7,1,0,4,6,352
22,8,1,552,1,11,327
51,1,0,5,29,5,600
32,1,1,10287,27,8,281
30,9,1,19,18,1,16
33,0,1,177,11,8,100
38,0,1,407,19,1,89
27,4,1,145,5,8,121
36,9,1,7503,5,8,193
82,5,0,8603,22,10,306
33,9,2,1699,4,1,600
45,1,0,-311,23,8,1030
35,0,1,-257,28,4,117
34,9,1,18777,18,9,535
30,0,1,270,30,0,437
52,1,1,955,17,6,301
33,1,0,195,16,9,984
38,9,1,631,25,1,343
47,4,2,1057,4,1,488
51,0,1,241,7,2,308
71,5,1,2064,9,9,379
61,4,2,997,22,6,269
59,5,1,599,7,8,31
57,0,0,1694,17,9,378
37,1,3,1508,6,6,381
39,4,2,0,17,5,301
30,4,2,2766,20,9,244
48,2,2,318,5,3,1017
31,2,2,0,18,9,164
22,8,1,948,25,3,169
57,4,2,830,8,8,662
59,5,1,5583,30,0,720
33,4,2,2360,20,9,268
31,0,1,190,30,0,514
45,1,0,-207,15,5,878
34,1,1,1924,1,0,161
27,9,1,643,13,5,317
40,1,0,919,3,6,327
77,5,1,9601,27,7,515
44,9,1,1901,6,1,165
60,9,1,0,25,8,641
45,6,1,7,20,9,691
32,7,2,945,20,9,531
54,5,0,136,3,0,352
32,4,2,2974,24,0,227
33,4,2,250,4,7,377
42,1,1,443,2,6,671
25,7,1,1119,18,8,1063
29,3,2,19,4,8,268
37,4,2,0,16,6,637
30,4,2,102,18,2,364
28,8,1,949,28,8,1730
40,10,1,1694,12,1,473
25,8,1,1139,15,8,22
41,4,2,5561,20,1,649
35,6,2,353,12,1,582
44,6,2,1070,11,9,172
60,9,1,-50,28,1,433
77,5,1,4112,26,4,1616
58,2,2,853,5,6,1149
38,4,2,595,18,9,70
37,7,1,2678,25,7,156
32,4,2,294,17,0,1095
44,9,2,643,16,10,324
51,1,0,1694,13,1,186
34,4,2,2287,26,8,895
54,9,2,876,27,10,269
37,1,0,-196,26,8,166
49,4,2,178,6,1,174
71,5,0,2988,17,0,130
33,1,2,700,30,0,169
35,4,2,867,2,6,230
24,7,3,2022,23,0,159
37,4,2,427,20,8,121
52,4,2,1453,29,5,254
40,0,1,732,9,11,71
57,5,1,3738,20,5,178
39,4,2,307,22,8,182
63,0,1,0,31,1,253
26,0,1,1595,2,7,54
42,3,0,16,11,6,79
36,7,2,0,8,8,52
33,9,1,163,20,1,627
49,9,3,387,28,4,325
41,2,2,221,14,8,57
38,0,1,930,5,8,46
42,9,3,1559,30,0,368
26,0,1,102,8,5,658
36,7,1,52,5,7,498
31,4,2,59,6,8,1347
35,4,2,681,18,3,737
36,9,1,432,11,8,61
28,1,0,431,13,8,68
25,1,1,-247,23,5,633
55,1,1,660,5,6,348
30,7,0,0,19,9,686
53,5,1,303,6,8,593
58,0,0,879,16,8,242
42,1,1,681,18,9,203
43,9,1,994,5,8,51
44,2,1,887,17,0,519
31,1,1,54,29,6,401
49,1,1,23,17,9,221
31,3,0,2603,18,9,224
29,4,2,10576,15,8,1224
47,10,1,947,5,3,124
32,9,2,1212,23,8,463
42,4,2,372,4,1,153
37,1,0,0,26,8,24
36,9,1,-487,17,0,1080
32,4,2,131,11,1,112
49,10,0,518,29,4,1917
39,3,2,2990,30,0,127
51,10,1,1416,9,11,345
43,1,1,953,4,3,765
49,9,1,2400,21,10,262
35,9,1,2823,2,3,229
39,9,2,108,28,8,589
60,5,2,381,17,0,208
53,0,1,0,6,1,1452
50,6,2,1503,27,1,128
44,4,1,0,21,1,167
40,2,2,3571,9,6,222
37,0,1,1097,21,9,1555
30,4,2,-250,20,6,11
77,5,0,2590,12,1,345
76,5,2,2991,25,4,195
29,4,2,5359,18,3,147
36,0,2,125,26,8,172
29,4,2,1026,12,3,138
44,4,2,3932,8,8,40
36,9,1,98,30,4,771
30,4,2,552,5,1,648
35,10,1,1,28,5,173
46,1,1,-3,9,8,92
32,9,1,930,21,8,122
39,0,1,1595,5,6,102
33,4,2,271,14,1,801
66,5,3,2540,10,2,441
53,6,0,4576,30,5,82
34,4,2,0,30,0,300
38,0,1,19,30,8,604
71,5,2,653,3,11,471
34,0,1,1704,15,8,218
48,1,0,183,9,6,940
23,8,1,431,13,1,496
51,4,2,385,11,1,39
34,7,2,3119,16,10,306
36,4,2,-547,30,0,267
49,9,2,80,17,5,123
56,5,1,4577,29,1,133
71,5,1,1712,11,3,660
40,4,2,37,16,8,412
32,1,1,-32,12,8,145
47,4,2,2475,20,9,1476
57,1,1,1540,17,9,564
27,6,2,147,22,6,111
56,1,1,1187,5,3,47
30,1,0,253,5,8,259
30,9,1,148,15,8,115
39,4,2,93,13,8,196
42,10,1,-165,27,8,179
40,1,0,46,6,8,119
65,4,2,90,22,0,416
50,4,2,469,16,0,161
46,1,1,137,20,6,252
41,7,1,840,2,3,938
52,0,1,1113,8,5,83
45,0,1,0,17,9,102
34,9,1,1451,30,8,1097
31,9,1,7369,19,1,204
41,4,3,465,22,5,1508
55,9,3,1393,21,9,55
57,0,1,2223,12,1,1064
32,0,1,678,4,3,1579
37,9,2,127,25,1,192
48,0,1,660,18,3,318
44,9,2,717,3,6,150
28,8,2,221,15,8,176
38,2,1,2139,9,8,576
28,9,1,1363,27,3,79
58,11,3,68,2,0,268
63,1,1,180,15,5,390
43,1,0,3917,2,7,154
40,7,1,1293,13,0,128
35,9,1,354,11,1,444
25,7,1,199,16,1,111
35,0,1,534,15,8,669
38,9,1,1221,18,1,73
40,9,1,2266,16,10,447
44,1,1,36,8,8,712
42,0,1,281,15,8,118
33,9,1,177,12,8,22
33,1,0,-15,7,5,326
25,1,1,101,8,5,460
33,1,1,3576,2,0,124
25,2,2,347,20,1,267
52,9,1,195,18,3,220
32,9,2,514,7,8,138
40,1,0,570,12,8,109
36,9,1,54,27,1,1642
33,4,2,275,18,9,348
52,4,2,7135,19,1,1032
30,4,2,944,29,10,251
51,5,0,1495,25,5,1946
53,9,1,10185,23,7,115
44,10,0,97,5,6,105
50,6,2,202,15,0,107
35,0,1,182,3,6,117
57,0,1,658,10,5,724
52,4,2,4,28,5,30
35,4,2,1599,13,0,407
28,4,2,223,1,6,303
34,2,2,714,12,8,166
49,1,1,1127,17,0,162
31,9,1,2088,9,3,15
33,7,1,2411,23,10,130
32,1,1,130,6,8,302
44,2,1,1,31,5,388
32,1,0,611,8,8,541
41,4,2,5037,23,0,252
49,2,1,687,18,1,65
55,5,2,101,9,5,111
45,1,1,2071,22,5,1148
34,4,2,5,18,1,370
36,0,3,1815,5,6,387
73,5,3,739,11,11,210
42,4,2,1272,5,8,117
55,9,2,11,21,1,588
62,4,2,0,3,11,299
42,4,2,24780,6,1,184
76,5,0,2223,4,3,429
24,1,0,656,16,8,894
24,9,1,403,17,6,247
34,4,2,1058,28,8,864
48,2,1,104,18,9,55
55,9,1,517,19,8,61
31,1,1,-575,2,6,153
27,1,1,2486,29,8,733
58,7,1,-37,6,3,150
24,10,1,2573,24,8,375
56,4,2,2333,4,8,244
52,1,0,4660,18,1,82
22,0,1,114,30,7,517
62,1,1,272,11,1,146
37,9,2,3943,6,0,1138
25,9,1,938,1,6,1048
40,0,1,0,23,8,193
46,9,1,4023,7,1,131
55,4,2,154,11,8,70
47,10,1,926,14,1,436
40,0,1,-253,9,5,177
39,1,0,-294,5,6,181
60,5,1,2060,29,6,135
38,9,1,0,22,0,315
48,1,0,316,5,6,560
48,1,0,5154,14,8,70
34,7,1,22,6,8,344
41,1,0,686,21,9,888
45,4,2,6269,29,5,20
27,9,2,931,4,3,1078
25,9,1,505,17,9,386
36,0,1,810,17,6,296
39,4,2,378,5,8,127
54,9,1,136,10,5,151
27,9,1,740,5,8,294
41,9,1,650,20,9,2420
59,4,2,81,26,8,140
56,1,1,1210,11,6,935
38,1,0,947,12,8,361
35,4,2,2885,13,1,199
41,0,0,-306,15,8,500
47,4,2,761,11,5,80
51,3,3,2337,27,8,133
46,9,1,863,3,3,67
32,0,1,366,14,4,366
23,0,2,314,8,0,142
32,1,1,880,4,6,112
41,2,0,406,6,6,272
31,1,1,4471,9,8,296
51,4,2,-3,21,1,79
30,9,1,167,14,11,9
42,4,1,372,31,5,130
52,9,1,371,21,10,453
51,4,0,98,7,8,114
56,7,3,616,18,6,1812
29,7,2,1788,27,10,353
40,4,2,0,6,1,641
32,3,0,1349,7,1,132
44,4,2,792,25,1,630
29,1,0,7,12,8,69
31,4,2,354,30,0,502
35,9,1,1693,26,8,58
37,4,1,5447,17,9,1789
42,1,1,790,29,8,356
29,1,1,162,15,5,126
34,0,1,-251,18,5,641
40,6,1,1516,23,8,373
38,9,1,0,15,5,146
29,1,1,975,27,8,265
42,7,1,774,28,4,997
53,1,0,751,3,3,1528
54,10,1,582,15,8,693
60,3,0,352,17,6,81
36,4,2,3839,19,9,146
43,9,2,0,4,1,1488
32,9,2,1246,4,3,192
52,10,1,1639,8,1,93
29,9,1,307,3,3,216
36,4,2,806,3,3,106
35,4,2,6659,21,8,83
33,4,2,3552,13,3,158
28,0,3,2736,8,5,705
57,4,2,2845,19,0,1143
30,0,1,873,12,9,119
54,4,2,588,13,1,327
43,1,0,18,14,8,131
46,9,2,0,28,4,1199
42,7,2,12223,19,9,36
46,0,1,556,15,8,646
49,6,1,2061,30,8,137
50,1,0,388,5,3,701
67,5,1,203,11,10,405
37,9,1,24,13,1,136
46,0,1,272,31,5,149
31,1,1,152,8,5,831
45,4,1,5888,26,8,45
57,0,3,2038,9,1,628
47,4,0,145,1,5,163
40,4,3,4095,20,0,281
24,9,1,409,16,8,912
32,1,0,274,9,8,21
28,1,1,-193,18,5,580
41,0,1,0,17,9,595
33,6,2,1049,4,8,126
25,7,1,162,1,11,531
33,9,1,221,13,8,669
